dup_carrying_indid,anc_gc,derived_pop,repl_id,init_dupl_genotype_fitness,rel_sel_adv_dupG_init_pop_mean,rel_sel_adv_dupG_init_pop_min,rel_sel_adv_dupG_init_pop_max,rel_sel_adv_dupG_init_pop_std,rel_sel_adv_dupG_init_pop_median,rel_sel_adv_dupG_init_pop_MAD,rel_sel_adv_dupG_init_pop_Q75,rel_sel_adv_dupG_init_pop_IQR,pop_freq_dupl_carrying_genotype,rank_in_pop_dupl_genotype_fitness,max_dup_freq_attained,longest_time_window_dupl_nearly_fixed,t2fixation,simulated_geners
52,1,1,0,0.600795889022,8.40976102374,-0.151415061137,62.8250138839,2.2077857664,8.19393513766,0.588656489004,8.63615506758,0.8025033687,0.001,2,1.0,1893,17,1910
582,1,1,1,0.600795889022,8.40976102374,-0.151415061137,62.8250138839,2.2077857664,8.19393513766,0.588656489004,8.63615506758,0.8025033687,0.001,2,1.0,1864,16,1880
824,1,1,2,0.600795889022,8.40976102374,-0.151415061137,62.8250138839,2.2077857664,8.19393513766,0.588656489004,8.63615506758,0.8025033687,0.001,2,1.0,1878,19,1897
522,1,1,3,0.6044374047,8.46695832442,-0.146271658169,63.2118670447,2.22113167882,8.24966098326,0.592224425924,8.69456127574,0.807367464231,0.001,2,1.0,1885,17,1902
967,1,1,4,0.614996437148,8.63253275064,-0.131357714735,64.3335964122,2.25987493507,8.41124507732,0.602570107511,8.86391741796,0.819187606913,0.001,2,1.0,1848,45,1893
509,1,1,5,0.559634251585,7.76399736811,-0.209553184627,58.4522441481,2.05643863983,7.5640416386,0.54832654431,7.9759642633,0.747522378803,0.001,3,1.0,1509,19,1908
492,1,1,6,0.571341375039,7.9477230074,-0.19301763766,59.6959399367,2.09955575445,7.74319488457,0.559797119117,8.16373461769,0.763159979161,0.001,3,1.0,1766,53,1846
663,1,1,7,0.557875699542,7.73641779237,-0.212037024488,58.2654259448,2.04996238616,7.53713064651,0.546603524746,7.94775887694,0.745173421421,0.001,3,1.0,1783,22,1825
907,1,1,8,0.588278437589,8.21344318791,-0.16909514343,61.4952336272,2.16181931435,8.00238150245,0.576391959325,8.43538787649,0.78578338588,0.001,2,1.0,1828,16,1844
65,1,1,9,0.601157792869,8.41548595184,-0.1509038956,62.8634604153,2.20910459408,8.19947332551,0.589011080391,8.64195963723,0.802986775895,0.001,2,1.0,1997,17,2014
203,1,1,10,0.55882021305,7.7512257423,-0.21070296087,58.3657654925,2.0534391021,7.551584467,0.547528953857,7.96290791306,0.746435040027,0.001,3,1.0,1844,19,1863
393,1,1,11,0.615932771997,8.64720159371,-0.130035202939,64.4330671074,2.26331448442,8.42557374038,0.603487523217,8.87893527671,0.820434823738,0.001,2,1.0,1825,15,1840
865,1,1,12,0.6044374047,8.46695832442,-0.146271658169,63.2118670447,2.22113167882,8.24966098326,0.592224425924,8.69456127574,0.807367464231,0.001,2,1.0,1825,144,1969
739,1,1,13,0.564603647596,7.84200356083,-0.202534237448,58.9801634884,2.07475452582,7.64008793891,0.553195531036,8.05566832159,0.754160168961,0.001,3,1.0,1800,45,1848
646,1,1,14,0.413440219483,5.47367585261,-0.416042703048,42.9214519121,1.51866476704,5.3268451577,0.40508644027,5.63116066356,0.55224607051,0.001,3,1.0,1858,42,1900
155,1,1,15,0.598209372432,8.36916974127,-0.155068346825,62.5502376074,2.19829418906,8.15435386522,0.586122234355,8.59466997188,0.799048471096,0.001,2,1.0,1836,17,1853
381,1,1,16,0.6044374047,8.46695832442,-0.146271658169,63.2118670447,2.22113167882,8.24966098326,0.592224425924,8.69456127574,0.807367464231,0.001,2,1.0,1822,18,1840
356,1,1,17,0.588183638408,8.21196306929,-0.169229041079,61.485162721,2.16147066883,8.00093079758,0.576299075612,8.43386739403,0.785656759411,0.001,2,1.0,1836,16,1852
723,1,1,18,0.578094281566,8.05359857312,-0.183479598407,60.4133289214,2.12438678238,7.84653411464,0.566413579581,8.27204437087,0.772180064577,0.001,3,1.0,1800,58,1858
148,1,1,19,0.577670568574,8.04700026854,-0.184078065325,60.3683161506,2.12283324334,7.840050066,0.565998427935,8.26524844538,0.771614096817,0.001,3,1.0,1823,25,1852
472,1,1,20,0.602692213259,8.43932394287,-0.148736627054,63.0264681929,2.21477516519,8.22295444746,0.590514497002,8.66657017982,0.805036353056,0.001,2,1.0,1400,489,1889
782,1,1,21,0.61143344907,8.57671790537,-0.136390202599,63.9550855607,2.24678527561,8.35672093378,0.599079111499,8.80677071265,0.814441635228,0.001,2,1.0,1812,17,1829
